team,score,possession,total_shots,shots_on_target,duels_won
Argentina,2.1,0.588,15.55,7.25,0.522
Australia,1.0,0.35,7.0,2.667,0.49
Belgium,0.25,0.562,12.75,3.0,0.545
Brazil,1.417,0.563,19.5,8.333,0.482
Cameroon,1.0,0.432,9.0,5.25,0.522
Canada,0.75,0.54,10.0,1.25,0.492
Costa Rica,1.25,0.308,5.0,3.25,0.555
Croatia,1.042,0.556,11.292,3.708,0.513
Denmark,0.25,0.612,11.25,3.75,0.448
Ecuador,1.25,0.555,9.75,3.75,0.462
England,2.75,0.644,14.625,6.25,0.558
France,2.208,0.512,13.917,5.292,0.564
Germany,1.75,0.63,23.75,8.25,0.498
Ghana,1.25,0.44,9.0,3.5,0.485
Iran,1.0,0.392,9.25,2.75,0.473
Japan,1.5,0.322,11.333,3.667,0.485
Mexico,0.5,0.56,13.0,5.0,0.502
Morocco,0.792,0.371,8.583,2.542,0.492
Netherlands,2.0,0.534,9.0,3.125,0.484
Poland,0.75,0.365,7.75,2.0,0.488
Portugal,2.083,0.622,13.083,5.083,0.537
Qatar,0.25,0.415,6.25,2.25,0.522
Saudi Arabia,1.0,0.43,9.75,2.75,0.452
Senegal,0.833,0.448,13.667,3.5,0.523
Serbia,1.75,0.522,11.0,3.25,0.508
South Korea,1.25,0.478,12.5,4.75,0.495
Spain,2.25,0.768,12.25,4.25,0.478
Switzerland,1.167,0.497,8.5,3.167,0.467
Tunisia,0.25,0.422,11.25,2.25,0.503
USA,0.833,0.552,9.5,2.833,0.48
Uruguay,0.5,0.507,10.75,3.0,0.512
Wales,0.5,0.448,7.75,2.5,0.505
