player_name,total_assists
 Harry Kane ,3
 Ivan Perišić ,3
 Lionel Messi ,3
 Antoine Griezmann ,3
 Bruno Fernandes ,3
 Vinícius Júnior ,2
 Andrija Živković ,2
 Jordi Alba ,2
 Theo Hernandez ,2
 Dušan Tadić ,2
 Denzel Dumfries ,2
 Own goal ,2
 Ousmane Dembélé ,2
 Kylian Mbappé ,2
 Phil Foden ,2
 Christian Pulisic ,2
 Davy Klaassen ,2
 Marcus Thuram ,2
 Raphaël Guerreiro ,2
 João Félix ,2
 Mislav Oršić ,2
 Ali Gholizadeh ,1
 Yeltsin Tejeda ,1
 Hakim Ziyech ,1
 Abdelhamid Sabiri ,1
 Josip Juranović ,1
 Tajon Buchanan ,1
 Jamal Musiala ,1
 Callum Wilson ,1
 Vincent Aboubakar ,1
 Jean-Charles Castelletto ,1
 Raheem Sterling ,1
 Iñaki Williams ,1
 Kim Jin-su ,1
 Lee Kang-in ,1
 Jordan Ayew ,1
 Ángel Di María ,1
 Adrien Rabiot ,1
 Joachim Andersen ,1
 Rodrygo ,1
 Mathew Leckie ,1
 Ko Itakura ,1
 Dani Olmo ,1
 Frenkie de Jong ,1
 Álvaro Morata ,1
 Luke Shaw ,1
 Toby Alderweireld ,1
 Firas Al-Buraikan ,1
 Xherdan Shaqiri ,1
 Harry Maguire ,1
 Mehdi Taremi ,1
 Iliman Ndiaye ,1
 Ismail Mohammad ,1
 Ismail Jakobs ,1
 Robert Lewandowski ,1
 Hattan Bahebri ,1
 Félix Torres ,1
 Maya Yoshida ,1
 Ruben Vargas ,1
 Silvan Widmer ,1
 Djibril Sow ,1
 Daley Blind ,1
 Nicolás Otamendi ,1
 Jude Bellingham ,1
 Dejan Lovren ,1
 Thiago Silva ,1
 Kalvin Phillips ,1
 Neymar ,1
 Gonçalo Ramos ,1
 Lucas Paquetá ,1
 Teun Koopmeiners ,1
 Steven Berghuis ,1
 Yahia Attiyat Allah ,1
 Marko Livaja ,1
 Jerome Ngom Mbekeli ,1
 Luis Suárez ,1
 Diogo Dalot ,1
 Son Heung-min ,1
 Sergiño Dest ,1
 Riley McGree ,1
 Aïssa Laïdouni ,1
 Enzo Fernández ,1
 Nahuel Molina ,1
 Alexis Mac Allister ,1
 César Montes ,1
 Achraf Hakimi ,1
 Leroy Sané ,1
 Serge Gnabry ,1
 Niclas Füllkrug ,1
 David Raum ,1
 Kaoru Mitoma ,1
 Junya Ito ,1
 César Azpilicueta ,1
 Ángelo Preciado ,1
