pens,pens_home_score,pens_away_score,team_name_home,team_name_away,team_home_score,team_away_score,possession_home,possession_away,who_won,team_who_won,ball_possession_analysis
True,4,2,Argentina,France,3,3,0.54,0.46,team_home_won,Argentina,Y
False,False,False,Croatia,Morocco,2,1,0.51,0.49,team_home_won,Croatia,Y
False,False,False,France,Morocco,2,0,0.38,0.62,team_home_won,France,N
False,False,False,Argentina,Croatia,3,0,0.39,0.61,team_home_won,Argentina,N
False,False,False,England,France,1,2,0.58,0.42,team_away_won,France,N
False,False,False,Morocco,Portugal,1,0,0.26,0.74,team_home_won,Morocco,N
True,3,4,Netherlands,Argentina,2,2,0.52,0.48,team_away_won,Argentina,N
True,4,2,Croatia,Brazil,1,1,0.51,0.49,team_home_won,Croatia,Y
False,False,False,Portugal,Switzerland,6,1,0.47,0.53,team_home_won,Portugal,N
True,3,0,Morocco,Spain,0,0,0.23,0.77,team_home_won,Morocco,N
False,False,False,Brazil,South Korea,4,1,0.54,0.46,team_home_won,Brazil,Y
True,1,3,Japan,Croatia,1,1,0.41,0.59,team_away_won,Croatia,Y
False,False,False,England,Senegal,3,0,0.62,0.38,team_home_won,England,Y
False,False,False,France,Poland,3,1,0.55,0.45,team_home_won,France,Y
False,False,False,Argentina,Australia,2,1,0.61,0.39,team_home_won,Argentina,Y
False,False,False,Netherlands,USA,3,1,0.41,0.59,team_home_won,Netherlands,N
False,False,False,Serbia,Switzerland,2,3,0.54,0.46,team_away_won,Switzerland,N
False,False,False,Cameroon,Brazil,1,0,0.35,0.65,team_home_won,Cameroon,N
False,False,False,Ghana,Uruguay,0,2,0.51,0.49,team_away_won,Uruguay,N
False,False,False,South Korea,Portugal,2,1,0.38,0.62,team_home_won,South Korea,N
False,False,False,Japan,Spain,2,1,0.17,0.83,team_home_won,Japan,N
False,False,False,Costa Rica,Germany,2,4,0.31,0.69,team_away_won,Germany,Y
False,False,False,Croatia,Belgium,0,0,0.48,0.52,Draw,Draw,Draw
False,False,False,Canada,Morocco,1,2,0.59,0.41,team_away_won,Morocco,N
False,False,False,Saudi Arabia,Mexico,1,2,0.39,0.61,team_away_won,Mexico,Y
False,False,False,Poland,Argentina,0,2,0.26,0.74,team_away_won,Argentina,Y
False,False,False,Tunisia,France,1,0,0.34,0.66,team_home_won,Tunisia,N
False,False,False,Australia,Denmark,1,0,0.31,0.69,team_home_won,Australia,N
False,False,False,Iran,USA,0,1,0.49,0.51,team_away_won,USA,Y
False,False,False,Wales,England,0,3,0.35,0.65,team_away_won,England,Y
False,False,False,Netherlands,Qatar,2,0,0.63,0.37,team_home_won,Netherlands,Y
False,False,False,Ecuador,Senegal,1,2,0.62,0.38,team_away_won,Senegal,N
False,False,False,Portugal,Uruguay,2,0,0.6,0.4,team_home_won,Portugal,Y
False,False,False,Brazil,Switzerland,1,0,0.54,0.46,team_home_won,Brazil,Y
False,False,False,South Korea,Ghana,2,3,0.64,0.36,team_away_won,Ghana,N
False,False,False,Cameroon,Serbia,3,3,0.4,0.6,Draw,Draw,Draw
False,False,False,Spain,Germany,1,1,0.65,0.35,Draw,Draw,Draw
False,False,False,Croatia,Canada,4,1,0.48,0.52,team_home_won,Croatia,N
False,False,False,Belgium,Morocco,0,2,0.67,0.33,team_away_won,Morocco,N
False,False,False,Japan,Costa Rica,0,1,0.57,0.43,team_away_won,Costa Rica,N
False,False,False,Argentina,Mexico,2,0,0.59,0.41,team_home_won,Argentina,Y
False,False,False,France,Denmark,2,1,0.48,0.52,team_home_won,France,N
False,False,False,Poland,Saudi Arabia,2,0,0.36,0.64,team_home_won,Poland,N
False,False,False,Tunisia,Australia,0,1,0.59,0.41,team_away_won,Australia,N
False,False,False,England,USA,0,0,0.56,0.44,Draw,Draw,Draw
False,False,False,Netherlands,Ecuador,1,1,0.55,0.45,Draw,Draw,Draw
False,False,False,Qatar,Senegal,1,3,0.45,0.55,team_away_won,Senegal,Y
False,False,False,Wales,Iran,0,2,0.62,0.38,team_away_won,Iran,N
False,False,False,Brazil,Serbia,2,0,0.59,0.41,team_home_won,Brazil,Y
False,False,False,Portugal,Ghana,3,2,0.62,0.38,team_home_won,Portugal,Y
False,False,False,Uruguay,South Korea,0,0,0.57,0.43,Draw,Draw,Draw
False,False,False,Switzerland,Cameroon,1,0,0.51,0.49,team_home_won,Switzerland,Y
False,False,False,Belgium,Canada,1,0,0.54,0.46,team_home_won,Belgium,Y
False,False,False,Spain,Costa Rica,7,0,0.82,0.18,team_home_won,Spain,Y
False,False,False,Germany,Japan,1,2,0.74,0.26,team_away_won,Japan,N
False,False,False,Morocco,Croatia,0,0,0.35,0.65,Draw,Draw,Draw
False,False,False,France,Australia,4,1,0.63,0.37,team_home_won,France,Y
False,False,False,Mexico,Poland,0,0,0.61,0.39,Draw,Draw,Draw
False,False,False,Denmark,Tunisia,0,0,0.62,0.38,Draw,Draw,Draw
False,False,False,Argentina,Saudi Arabia,1,2,0.7,0.3,team_away_won,Saudi Arabia,N
False,False,False,USA,Wales,1,1,0.59,0.41,Draw,Draw,Draw
False,False,False,Senegal,Netherlands,0,2,0.46,0.54,team_away_won,Netherlands,Y
False,False,False,England,Iran,6,2,0.79,0.21,team_home_won,England,Y
False,False,False,Qatar,Ecuador,0,2,0.47,0.53,team_away_won,Ecuador,Y
